Trait,Score
charismatic,1
charming,1
smart,1
articulate,1
honest,1
enthusiastic,1
meticulous,1
disciplined,1
polite,1
eloquent,1
energetic,1
driven,1
feisty,1
courageous,1
obedient,1
law-abiding,1
witty,1
funny,1
tactful,1
genuine,1
sincere,1
authentic,1
creative,1
artistic,1
kind,1
thoughtful,1
go-getter,1
benevolent,1
compassionate,1
exuberant,1
content,1
amiable,1
positive,1
independent,1
autonomous,1
self-sufficient,1
high-profile,1
entertaining,1
entrepreneurial,1
fluent,1
respectable,1
respectful,1
brilliant,1
intelligent,1
brainy,1
bold,1
good-natured,1
affable,1
congenial,1
friendly,1
sociable,1
pleasant,1
generous,1
hard-working,1
tenacious,1
present,1
presentable,1
imaginative,1
optimistic,1
inspiring,1
egalitarian,1
alert,1
captivating,1
trustworthy,1
considerate,1
open-minded,1
reliable,1
attractive,1
classy,1
refined,1
moral,1
virtuous,1
accepting,1
brave,1
motivated,1
sophisticated,1
altruistic,1
reasonable,1
focused,1
supportive,1
modest,1
philanthropic,1
big-hearted,1
humane,1
clever,1
upbeat,1
understanding,1
confident,1
flexible,1
organized,1
empathetic,1
determined,1
balanced,1
heroic,1
laudable,1
felicific,1
analytical,1
commanding,1
forgiving,1
merciful,1
persistent,1
cooperative,1
original,1
distinctive,1
cheerful,1
impartial,1
adventurous,1
tolerant,1
broadminded,1
charitable,1
dependable,1
inoffensive,1
individualistic,1
steadfast,1
faithful,1
dedicated,1
humble,1
outgoing,1
impressive,1
helpful,1
eager,1
patient,1
cultured,1
fair,1
gregarious,1
valiant,1
ethical,1
patriotic,1
devoted,1
qualified,1
experienced,1
authoritative,1
knowledgeable,1
conversant,1
absent,1
informed,1
passionate,1
adaptable,1
bubbly,1
agreeable,1
assertive,1
decisive,1
accountable,1
level-headed,1
sensible,1
equable,1
productive,1
active,1
grateful,1
thankful,1
satisfied,1
dutiful,1
skilled,1
dignified,1
earnest,1
esthetic,1
striving,1
diligent,1
industrious,1
unpretentious,1
uncomplicated,1
down-to-earth,1
well-mannered,1
lovely,1
loving,1
zealous,1
versatile,1
innovative,1
mature,1
dynamic,1
vigorous,1
unperturbed,1
poised,1
cheery,1
jolly,1
merry,1
just,1
enterprising,1
expressive,1
direct,1
wise,1
practical,1
visionary,1
unstoppable,1
engaged,1
animated,1
engaging,1
involved,1
talented,1
methodological,1
systematic,1
prudent,1
economical,1
thrifty,1
interested,1
genius,1
comical,1
even-handed,1
outstanding,1
prominent,1
unassuming,1
remarkable,1
noteworthy,1
striking,1
familiar,1
unyielding,1
liberal,1
well-traveled,1
youthful,1
democratic,1
incorruptible,1
invulnerable,1
firm,1
affectionate,1
quick-witted,1
fun,1
scholarly,1
self-reliant,1
graceful,1
gracious,1
sharp,1
purposeful,1
equitable,1
sympathetic,1
skillful,1
concerned,1
neat,1
sport,1
orderly,1
sober,1
stable,1
well-behaved,1
gallant,1
logical,1
dauntless,1
winning,1
well-read,1
tidy,1
magnanimous,1
high-minded,1
upright,1
noble,1
sweet,1
vivacious,1
well-bred,1
chivalrous,1
unfazed,1
punctual,1
effervescent,1
prompt,1
strong,1
objective,1
resourceful,1
capable,1
inventive,1
timely,1
personable,1
perfectionist,1
polished,1
precise,1
reflective,1
responsive,1
romantic,1
accurate,1
specific,1
tough,1
persuasive,1
popular,1
principled,1
superior,1
inspired,1
profound,1
limitless,1
well-rounded,1
tasteful,1
trainable,1
teachable,1
uncomplaining,1
accommodating,1
obliging,1
compliant,1
willing,1
disposed,1
prepared,1
equipped,1
primed,1
trusting,1
clear-headed,1
expectant,1
hopeful,1
unwavering,1
entrancing,1
magnetic,1
resolute,1
staunch,1
neighborly,1
studious,1
bookish,1
hypnotic,1
gifted,1
no-nonsense,1
mesmerizing,1
far-sighted,1
academic,1
stoic,1
philosophical,1
natural,1
diplomatic,1
intellectual,1
pedagogical,1
strategic,1
spontaneous,1
detail-oriented,1
genial,1
gentle,1
discriminating,1
selfless,1
amenable,1
amicable,1
parsimonious,1
approachable,1
open,1
avid,1
multifaceted,1
prodigy,1
proficient,1
